Gene symbol	TCGA-05-4244-01	TCGA-05-4249-01	TCGA-05-4250-01	TCGA-05-4382-01	TCGA-05-4384-01
MRPS6	6293.7708	679.4285	698.9671	781.0768	692.193
MRPS7	1768.7268	841.8589	2555.55	1415.8885	1130.1283
MRPS9	486.2553	393.4311	496.3939	414.2355	472.8161
MRRF	408.0635	262.0728	301.086	355.8453	412.3396
MRS2P2	1.7454	0.9659	1.658	1.6751	1.2217
MRS2	815.4289	1158.0783	1246.4561	838.5217	1031.1546
MRTO4	721.1799	583.7075	1072.7016	744.4752	729.383
MRVI1	143.468	160.9784	376.689	767.2091	385.4612
MS4A10	0	0	0.3316	0.2393	0.6109
MS4A12	0.3491	0	0	0	0
MS4A13	0	0	0	0.2393	0
MS4A14	39.5567	13.5705	35.2781	51.6634	67.9291
MS4A15	21.2933	120.0899	7.6266	20.1015	114.2334
MS4A1	13.6138	165.8077	22.2167	73.4664	20.7697
MS4A2	33.1617	317.4493	23.8747	28.9558	45.8155
MS4A3	0	1.2878	0.3316	0	0.6109
MS4A4A	588.533	384.4163	874.7409	1297.2678	601.0996
MS4A5	0	0	0	0	0
MS4A6A	941.0943	1180.6153	1727.2652	2122.3885	1057.4221
MS4A6E	0	0.6439	0.6632	2.1537	2.4435
MS4A7	799.26	399.822	585.463	1146.2932	1109.8351
MS4A8B	147.6569	131.0364	11.2741	0.2393	0.6109
MSC	50.0567	94.7197	180.9268	504.6231	33.6591
MSGN1	0	0	0	0	0
MSH2	1147.7441	807.1455	800.4642	614.7724	645.6933
MSH3	484.0387	387.4298	429.336	222.5098	344.7648
MSH4	0.3491	0.322	0.3316	1.4358	0
MSH5	511.1685	63.4255	206.3699	290.3525	260.7208
MSH6	2474.5615	1285.8952	1621.1556	1239.3562	908.369
MSI1	1.7454	2.5757	4.3107	26.8021	131.9487
MSI2	234.9245	477.4618	235.4307	220.1598	235.7972
MSL1	1843.0928	2226.6527	2332.0899	2038.6321	1970.6781
MSL2	627.978	854.1512	606.4826	658.8043	700.0611
MSL3L2	167.903	289.4391	9.2846	556.8608	175.9316
MSL3	484.8591	565.9999	548.454	699.486	536.9578
MSLNL	0	0.322	0	3.111	48.259
MSLN	120.0803	1857.0464	391.9423	4200.7451	29164.9359
MSMB	0.3491	0	0.6632	39.4852	1890.0428
MSMP	39.445	24.7907	26.859	41.6389	40.3177
MSN	24640.8936	13709.2393	24948.0229	10162.5294	16926.6952
MSR1	2213.8057	1056.0181	2007.4608	4537.9246	2047.6481
MSRA	130.5524	210.2377	103.7884	112.473	255.956
MSRB2	472.2925	244.6871	453.6185	607.1146	478.9249
MSRB3	161.9688	233.0967	511.3156	1015.3675	560.7819
MST1P2	1539.7504	432.0659	118.7101	84.953	210.7514
MST1P9	2259.534	890.5323	144.9059	111.9943	128.8943
MST1R	975.6523	445.2661	2044.2676	481.9586	452.0464
MST1	99.1361	45.3959	23.8747	54.5613	183.2621
MST4	596.5617	378.2992	857.4981	526.9477	634.6976
MSTN	5.2361	9.0148	0.9948	2.6323	0.6109
MSTO1	1656.8392	731.8946	763.5149	972.5105	704.4227
MSTO2P	443.9061	202.9905	72.8807	221.6555	216.2126
MSX1	6.2833	7.083	15.5848	18.905	27.4893
MSX2P1	1.0472	0.322	1.3264	2.8716	0.6109
MSX2	54.8041	33.8055	50.7336	151.7188	7.3305
MT1A	28.9729	0.3445	46.4229	6.2219	0.6536
MT1B	0	0	0	0	0
MT1DP	1.0472	0.9659	4.9739	6.4612	1.2217
MT1E	429.0078	302.3174	1986.5705	512.3502	287.1106
MT1F	146.2606	149.7099	132.9686	224.7066	33.598
MT1G	33.8598	23.8248	47.7493	99.5505	14.0501
MT1H	13.6138	0.9659	10.611	26.8021	0
MT1IP	0	0	0.3316	0	0
MT1L	35.6052	13.2002	24.2063	69.8768	15.2718
MT1M	8.7268	7.405	64.6605	29.913	20.1588
MT1X	163.365	212.4914	710.2711	514.9825	94.0745
MT2A	1207.7843	461.6634	5939.816	1710.3068	637.0984
MT3	2.0944	0.6439	1.658	22.4946	0
MT4	0	0	0	0	0
MTA1	669.8665	780.7451	884.0255	800.4724	1070.8613
MTA2	1663.6705	2882.4786	1730.9127	1740.6984	1667.0739
MTA3	1099.5724	903.7325	1249.772	771.9952	875.3818
MTAP	418.1866	574.0488	2657.6971	347.2303	436.7746
MTBP	187.4509	52.4789	211.2244	47.1429	31.7654
MTCH1	3608.3428	4099.7969	4304.7335	4004.9943	3381.796
MTCH2	1835.4132	1457.82	1365.4978	1530.35	1324.3739
MTCP1NB	296.9229	286.4191	144.8728	284.2024	132.1014
MTCP1	81.4696	31.0302	14.2916	48.909	29.7801
MTDH	3605.5502	3867.9881	4635.3312	3913.1015	2711.0568
MTERFD1	457.2825	283.3219	253.9998	408.9708	244.3494
MTERFD2	403.1765	417.5779	482.7986	429.3116	565.6689
MTERFD3	247.4911	135.5438	61.013	205.8016	264.5082
MTERF	136.1375	140.6951	243.7205	187.3752	169.212
MTF1	606.6847	452.3492	288.817	561.8861	762.3702
MTF2	613.6661	595.9419	380.005	617.644	491.7532
MTFMT	143.8171	176.1103	214.8719	185.4607	200.3665
MTFR1	928.2276	638.7621	1028.6529	581.7484	397.0678
MTG1	260.4067	515.4527	656.5531	400.8345	445.3268
MTHFD1L	614.3643	885.059	607.809	658.3257	442.8833
MTHFD1	2323.0858	1016.0375	1588.8983	1062.4147	892.3458
